,Accuracy,Shape
268,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
269,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
270,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
271,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
272,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
273,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
274,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
275,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
276,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
277,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
278,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
279,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
280,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
281,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
282,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
283,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
284,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
285,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
286,"(0.7931034482758621, 0.4725274725274725, 0.3805052503590362)","(0.16009852216748768, 3.6290130796670637, 0.17328042328042328)"
287,"(0.7931034482758621, 0.4725274725274725, 0.3805052503590362)","(0.16009852216748768, 3.6290130796670637, 0.17328042328042328)"
288,"(0.7931034482758621, 0.4725274725274725, 0.3805052503590362)","(0.16009852216748768, 3.6290130796670637, 0.17328042328042328)"
289,"(0.7931034482758621, 0.4725274725274725, 0.3805052503590362)","(0.16009852216748768, 3.6290130796670637, 0.17328042328042328)"
290,"(0.7931034482758621, 0.4725274725274725, 0.3805052503590362)","(0.16009852216748768, 3.6290130796670637, 0.17328042328042328)"
291,"(0.7931034482758621, 0.4725274725274725, 0.3805052503590362)","(0.16009852216748768, 3.6290130796670637, 0.17328042328042328)"
292,"(0.7931034482758621, 0.4725274725274725, 0.3805052503590362)","(0.16009852216748768, 3.6290130796670637, 0.17328042328042328)"
293,"(0.7931034482758621, 0.4725274725274725, 0.3805052503590362)","(0.16009852216748768, 3.6290130796670637, 0.17328042328042328)"
294,"(0.7931034482758621, 0.4725274725274725, 0.3805052503590362)","(0.16009852216748768, 3.6290130796670637, 0.17328042328042328)"
295,"(0.7931034482758621, 0.4725274725274725, 0.3805052503590362)","(0.16009852216748768, 3.6290130796670637, 0.17328042328042328)"
296,"(0.7931034482758621, 0.4725274725274725, 0.3805052503590362)","(0.16009852216748768, 3.6290130796670637, 0.17328042328042328)"
297,"(0.790948275862069, 0.46994535519125685, 0.3745029861544442)","(0.1625615763546798, 3.557669441141498, 0.17063492063492064)"
298,"(0.790948275862069, 0.46994535519125685, 0.3745029861544442)","(0.1625615763546798, 3.557669441141498, 0.17063492063492064)"
299,"(0.790948275862069, 0.46994535519125685, 0.3745029861544442)","(0.1625615763546798, 3.557669441141498, 0.17063492063492064)"
