,Accuracy,Shape
22,"(0.7478448275862069, 0.03305785123966942, 0.053222007509136145)","(0.009852216748768473, 0.2687277051129607, 0.06613756613756613)"
23,"(0.7478448275862069, 0.03305785123966942, 0.053222007509136145)","(0.009852216748768473, 0.2687277051129607, 0.06613756613756613)"
24,"(0.7478448275862069, 0.03305785123966942, 0.053222007509136145)","(0.009852216748768473, 0.2687277051129607, 0.06613756613756613)"
25,"(0.7478448275862069, 0.03305785123966942, 0.053222007509136145)","(0.009852216748768473, 0.2687277051129607, 0.06613756613756613)"
26,"(0.7478448275862069, 0.03305785123966942, 0.053222007509136145)","(0.009852216748768473, 0.2687277051129607, 0.06613756613756613)"
27,"(0.75, 0.04918032786885246, 0.08360351198786067)","(0.012315270935960592, 0.2948870392390011, 0.06349206349206349)"
28,"(0.75, 0.04918032786885246, 0.08360351198786067)","(0.012315270935960592, 0.2948870392390011, 0.06349206349206349)"
29,"(0.75, 0.04918032786885246, 0.08360351198786067)","(0.012315270935960592, 0.2948870392390011, 0.06349206349206349)"
30,"(0.7478448275862069, 0.04878048780487805, 0.0653255474991764)","(0.014778325123152709, 0.38049940546967914, 0.06084656084656084)"
31,"(0.7456896551724138, 0.04838709677419355, 0.05027937073102171)","(0.017241379310344827, 0.456599286563615, 0.0582010582010582)"
32,"(0.7456896551724138, 0.04838709677419355, 0.05027937073102171)","(0.017241379310344827, 0.456599286563615, 0.0582010582010582)"
33,"(0.7456896551724138, 0.04838709677419355, 0.05027937073102171)","(0.017241379310344827, 0.456599286563615, 0.0582010582010582)"
34,"(0.7456896551724138, 0.04838709677419355, 0.05027937073102171)","(0.017241379310344827, 0.456599286563615, 0.0582010582010582)"
35,"(0.7456896551724138, 0.04838709677419355, 0.05027937073102171)","(0.017241379310344827, 0.456599286563615, 0.0582010582010582)"
36,"(0.7456896551724138, 0.04838709677419355, 0.05027937073102171)","(0.017241379310344827, 0.456599286563615, 0.0582010582010582)"
37,"(0.7478448275862069, 0.064, 0.07559668371773438)","(0.019704433497536946, 0.6611177170035671, 0.09391534391534391)"
38,"(0.7478448275862069, 0.064, 0.07559668371773438)","(0.019704433497536946, 0.6611177170035671, 0.09391534391534391)"
39,"(0.7478448275862069, 0.064, 0.07559668371773438)","(0.019704433497536946, 0.6611177170035671, 0.09391534391534391)"
40,"(0.7478448275862069, 0.064, 0.07559668371773438)","(0.019704433497536946, 0.6611177170035671, 0.09391534391534391)"
41,"(0.75, 0.07936507936507936, 0.09826344673107677)","(0.022167487684729065, 0.7871581450653987, 0.09126984126984126)"
42,"(0.75, 0.07936507936507936, 0.09826344673107677)","(0.022167487684729065, 0.7871581450653987, 0.09126984126984126)"
43,"(0.7478448275862069, 0.07874015748031496, 0.08470562391023316)","(0.024630541871921183, 0.9036860879904869, 0.08862433862433862)"
44,"(0.75, 0.09375, 0.10524917214109519)","(0.027093596059113302, 1.0107015457788346, 0.08597883597883597)"
45,"(0.7543103448275862, 0.12307692307692308, 0.14201190792657706)","(0.03201970443349754, 1.3341260404280613, 0.08068783068783068)"
46,"(0.7543103448275862, 0.12307692307692308, 0.14201190792657706)","(0.03201970443349754, 1.3341260404280613, 0.08068783068783068)"
47,"(0.7543103448275862, 0.12307692307692308, 0.14201190792657706)","(0.03201970443349754, 1.3341260404280613, 0.08068783068783068)"
48,"(0.7564655172413793, 0.13740458015267176, 0.1586951575277889)","(0.034482758620689655, 1.619500594530322, 0.1164021164021164)"
49,"(0.75, 0.1076923076923077, 0.1119372729298031)","(0.03201970443349754, 1.4030915576694405, 0.11904761904761904)"
50,"(0.75, 0.1076923076923077, 0.1119372729298031)","(0.03201970443349754, 1.4030915576694405, 0.11904761904761904)"
51,"(0.75, 0.1076923076923077, 0.1119372729298031)","(0.03201970443349754, 1.4030915576694405, 0.11904761904761904)"
52,"(0.75, 0.1076923076923077, 0.1119372729298031)","(0.03201970443349754, 1.4030915576694405, 0.11904761904761904)"
53,"(0.75, 0.1076923076923077, 0.1119372729298031)","(0.03201970443349754, 1.4030915576694405, 0.11904761904761904)"
54,"(0.75, 0.1076923076923077, 0.1119372729298031)","(0.03201970443349754, 1.4030915576694405, 0.11904761904761904)"
55,"(0.75, 0.1076923076923077, 0.1119372729298031)","(0.03201970443349754, 1.4030915576694405, 0.11904761904761904)"
56,"(0.75, 0.1076923076923077, 0.1119372729298031)","(0.03201970443349754, 1.4030915576694405, 0.11904761904761904)"
57,"(0.75, 0.1076923076923077, 0.1119372729298031)","(0.03201970443349754, 1.4030915576694405, 0.11904761904761904)"
58,"(0.75, 0.1076923076923077, 0.1119372729298031)","(0.03201970443349754, 1.4030915576694405, 0.11904761904761904)"
59,"(0.75, 0.1076923076923077, 0.1119372729298031)","(0.03201970443349754, 1.4030915576694405, 0.11904761904761904)"
60,"(0.75, 0.1076923076923077, 0.1119372729298031)","(0.03201970443349754, 1.4030915576694405, 0.11904761904761904)"
61,"(0.7435344827586207, 0.10526315789473684, 0.08066065926353337)","(0.03940886699507389, 1.4720570749108204, 0.1111111111111111)"
62,"(0.7456896551724138, 0.11940298507462686, 0.09809556816102602)","(0.04187192118226601, 1.6599286563614755, 0.10846560846560846)"
63,"(0.7456896551724138, 0.11940298507462686, 0.09809556816102602)","(0.04187192118226601, 1.6599286563614755, 0.10846560846560846)"
64,"(0.7456896551724138, 0.11940298507462686, 0.09809556816102602)","(0.04187192118226601, 1.6599286563614755, 0.10846560846560846)"
65,"(0.7456896551724138, 0.11940298507462686, 0.09809556816102602)","(0.04187192118226601, 1.6599286563614755, 0.10846560846560846)"
66,"(0.7478448275862069, 0.13333333333333333, 0.11465922323053736)","(0.04433497536945813, 1.56242568370987, 0.10582010582010581)"
67,"(0.7478448275862069, 0.13333333333333333, 0.11465922323053736)","(0.04433497536945813, 1.56242568370987, 0.10582010582010581)"
68,"(0.7478448275862069, 0.13333333333333333, 0.11465922323053736)","(0.04433497536945813, 1.56242568370987, 0.10582010582010581)"
69,"(0.7478448275862069, 0.13333333333333333, 0.11465922323053736)","(0.04433497536945813, 1.56242568370987, 0.10582010582010581)"
70,"(0.7478448275862069, 0.13333333333333333, 0.11465922323053736)","(0.04433497536945813, 1.56242568370987, 0.10582010582010581)"
71,"(0.7456896551724138, 0.1323529411764706, 0.10541144555554095)","(0.046798029556650245, 1.800237812128419, 0.10317460317460317)"
72,"(0.7456896551724138, 0.1323529411764706, 0.10541144555554095)","(0.046798029556650245, 1.800237812128419, 0.10317460317460317)"
73,"(0.7456896551724138, 0.1323529411764706, 0.10541144555554095)","(0.046798029556650245, 1.800237812128419, 0.10317460317460317)"
74,"(0.7456896551724138, 0.1323529411764706, 0.10541144555554095)","(0.046798029556650245, 1.800237812128419, 0.10317460317460317)"
75,"(0.7456896551724138, 0.1323529411764706, 0.10541144555554095)","(0.046798029556650245, 1.800237812128419, 0.10317460317460317)"
76,"(0.7478448275862069, 0.145985401459854, 0.12113333796547225)","(0.04926108374384237, 2.0975029726516055, 0.10052910052910052)"
77,"(0.7478448275862069, 0.145985401459854, 0.12113333796547225)","(0.04926108374384237, 2.0975029726516055, 0.10052910052910052)"
78,"(0.7478448275862069, 0.145985401459854, 0.12113333796547225)","(0.04926108374384237, 2.0975029726516055, 0.10052910052910052)"
79,"(0.7478448275862069, 0.145985401459854, 0.12113333796547225)","(0.04926108374384237, 2.0975029726516055, 0.10052910052910052)"
80,"(0.7478448275862069, 0.145985401459854, 0.12113333796547225)","(0.04926108374384237, 2.0975029726516055, 0.10052910052910052)"
81,"(0.7478448275862069, 0.145985401459854, 0.12113333796547225)","(0.04926108374384237, 2.0975029726516055, 0.10052910052910052)"
82,"(0.7478448275862069, 0.145985401459854, 0.12113333796547225)","(0.04926108374384237, 2.0975029726516055, 0.10052910052910052)"
83,"(0.7478448275862069, 0.145985401459854, 0.12113333796547225)","(0.04926108374384237, 2.0975029726516055, 0.10052910052910052)"
84,"(0.7456896551724138, 0.14492753623188406, 0.11232710266721722)","(0.05172413793103448, 2.109393579072533, 0.09788359788359788)"
85,"(0.7456896551724138, 0.14492753623188406, 0.11232710266721722)","(0.05172413793103448, 2.109393579072533, 0.09788359788359788)"
86,"(0.7456896551724138, 0.14492753623188406, 0.11232710266721722)","(0.05172413793103448, 2.109393579072533, 0.09788359788359788)"
87,"(0.7456896551724138, 0.14492753623188406, 0.11232710266721722)","(0.05172413793103448, 2.109393579072533, 0.09788359788359788)"
88,"(0.7435344827586207, 0.14388489208633093, 0.10398008636747057)","(0.054187192118226604, 2.111771700356718, 0.09523809523809523)"
89,"(0.7456896551724138, 0.15714285714285714, 0.11890946931743315)","(0.05665024630541872, 2.3115338882282996, 0.13095238095238096)"
90,"(0.7456896551724138, 0.15714285714285714, 0.11890946931743315)","(0.05665024630541872, 2.3115338882282996, 0.13095238095238096)"
91,"(0.7456896551724138, 0.16901408450704225, 0.12520948533306273)","(0.06157635467980296, 2.7514863258026154, 0.12566137566137567)"
92,"(0.7456896551724138, 0.16901408450704225, 0.12520948533306273)","(0.06157635467980296, 2.7514863258026154, 0.12566137566137567)"
93,"(0.7456896551724138, 0.16901408450704225, 0.12520948533306273)","(0.06157635467980296, 2.7514863258026154, 0.12566137566137567)"
94,"(0.7456896551724138, 0.16901408450704225, 0.12520948533306273)","(0.06157635467980296, 2.7514863258026154, 0.12566137566137567)"
95,"(0.7478448275862069, 0.18181818181818182, 0.1390560186474794)","(0.06403940886699508, 2.7158145065398336, 0.12301587301587301)"
96,"(0.7478448275862069, 0.18181818181818182, 0.1390560186474794)","(0.06403940886699508, 2.7158145065398336, 0.12301587301587301)"
97,"(0.7478448275862069, 0.18181818181818182, 0.1390560186474794)","(0.06403940886699508, 2.7158145065398336, 0.12301587301587301)"
98,"(0.7478448275862069, 0.18181818181818182, 0.1390560186474794)","(0.06403940886699508, 2.7158145065398336, 0.12301587301587301)"
99,"(0.75, 0.18309859154929578, 0.1471910219182088)","(0.06157635467980296, 2.544589774078478, 0.12566137566137567)"
100,"(0.75, 0.18309859154929578, 0.1471910219182088)","(0.06157635467980296, 2.544589774078478, 0.12566137566137567)"
101,"(0.7521551724137931, 0.1958041958041958, 0.16063528040414513)","(0.06403940886699508, 2.5778834720570756, 0.12301587301587301)"
102,"(0.7521551724137931, 0.1958041958041958, 0.16063528040414513)","(0.06403940886699508, 2.5778834720570756, 0.12301587301587301)"
103,"(0.7543103448275862, 0.20833333333333334, 0.17366711940998072)","(0.0665024630541872, 2.532699167657551, 0.12037037037037036)"
104,"(0.7543103448275862, 0.2191780821917808, 0.17811951439850304)","(0.07142857142857142, 2.8275862068965516, 0.11507936507936507)"
105,"(0.7543103448275862, 0.2191780821917808, 0.17811951439850304)","(0.07142857142857142, 2.8275862068965516, 0.11507936507936507)"
106,"(0.7543103448275862, 0.2191780821917808, 0.17811951439850304)","(0.07142857142857142, 2.8275862068965516, 0.11507936507936507)"
107,"(0.7543103448275862, 0.2191780821917808, 0.17811951439850304)","(0.07142857142857142, 2.8275862068965516, 0.11507936507936507)"
108,"(0.7564655172413793, 0.23129251700680273, 0.19042001579606557)","(0.07389162561576355, 2.82282996432818, 0.11243386243386243)"
109,"(0.7543103448275862, 0.22972972972972974, 0.1825278216618717)","(0.07635467980295567, 3.084423305588586, 0.14814814814814814)"
110,"(0.7543103448275862, 0.22972972972972974, 0.1825278216618717)","(0.07635467980295567, 3.084423305588586, 0.14814814814814814)"
111,"(0.7543103448275862, 0.22972972972972974, 0.1825278216618717)","(0.07635467980295567, 3.084423305588586, 0.14814814814814814)"
112,"(0.7564655172413793, 0.23129251700680273, 0.19042001579606557)","(0.07389162561576355, 2.82282996432818, 0.11243386243386243)"
113,"(0.7543103448275862, 0.22972972972972974, 0.1825278216618717)","(0.07635467980295567, 3.084423305588586, 0.14814814814814814)"
114,"(0.7543103448275862, 0.22972972972972974, 0.1825278216618717)","(0.07635467980295567, 3.084423305588586, 0.14814814814814814)"
115,"(0.7543103448275862, 0.22972972972972974, 0.1825278216618717)","(0.07635467980295567, 3.084423305588586, 0.14814814814814814)"
116,"(0.7543103448275862, 0.22972972972972974, 0.1825278216618717)","(0.07635467980295567, 3.084423305588586, 0.14814814814814814)"
117,"(0.7543103448275862, 0.22972972972972974, 0.1825278216618717)","(0.07635467980295567, 3.084423305588586, 0.14814814814814814)"
118,"(0.7521551724137931, 0.21768707482993196, 0.17023845176468722)","(0.07389162561576355, 3.0986920332936974, 0.15079365079365079)"
119,"(0.7521551724137931, 0.21768707482993196, 0.17023845176468722)","(0.07389162561576355, 3.0986920332936974, 0.15079365079365079)"
120,"(0.7521551724137931, 0.21768707482993196, 0.17023845176468722)","(0.07389162561576355, 3.0986920332936974, 0.15079365079365079)"
121,"(0.75, 0.21621621621621623, 0.16265152284677936)","(0.07635467980295567, 3.0154577883472067, 0.14814814814814814)"
122,"(0.7521551724137931, 0.22818791946308725, 0.17492231481607717)","(0.07881773399014778, 2.991676575505351, 0.1455026455026455)"
123,"(0.7521551724137931, 0.22818791946308725, 0.17492231481607717)","(0.07881773399014778, 2.991676575505351, 0.1455026455026455)"
124,"(0.7521551724137931, 0.22818791946308725, 0.17492231481607717)","(0.07881773399014778, 2.991676575505351, 0.1455026455026455)"
125,"(0.7521551724137931, 0.22818791946308725, 0.17492231481607717)","(0.07881773399014778, 2.991676575505351, 0.1455026455026455)"
126,"(0.75, 0.22666666666666666, 0.16758238090826)","(0.0812807881773399, 3.234244946492271, 0.14285714285714285)"
127,"(0.75, 0.22666666666666666, 0.16758238090826)","(0.0812807881773399, 3.234244946492271, 0.14285714285714285)"
