,Accuracy,Shape
153,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
154,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
155,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
156,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
157,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
158,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
159,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
160,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
161,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
162,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
163,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
164,"(0.8827586206896552, 0.5142857142857142, 0.4657206282608049)","(0.10098522167487685, 2.7633769322235433, 0.12169312169312169)"
165,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
166,"(0.8827586206896552, 0.5142857142857142, 0.4657206282608049)","(0.10098522167487685, 2.7633769322235433, 0.12169312169312169)"
167,"(0.8873563218390804, 0.5333333333333333, 0.4879318412082284)","(0.10098522167487685, 2.6254458977407853, 0.12169312169312169)"
168,"(0.8873563218390804, 0.5333333333333333, 0.4879318412082284)","(0.10098522167487685, 2.6254458977407853, 0.12169312169312169)"
169,"(0.8873563218390804, 0.5333333333333333, 0.4879318412082284)","(0.10098522167487685, 2.6254458977407853, 0.12169312169312169)"
170,"(0.8873563218390804, 0.5333333333333333, 0.4879318412082284)","(0.10098522167487685, 2.6254458977407853, 0.12169312169312169)"
171,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.5279429250891807, 0.08597883597883597)"
172,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.5279429250891807, 0.08597883597883597)"
173,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.5279429250891807, 0.08597883597883597)"
174,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.5279429250891807, 0.08597883597883597)"
175,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.5279429250891807, 0.08597883597883597)"
176,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.5279429250891807, 0.08597883597883597)"
177,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.5279429250891807, 0.08597883597883597)"
178,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.5279429250891807, 0.08597883597883597)"
179,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.5279429250891807, 0.08597883597883597)"
180,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.5279429250891807, 0.08597883597883597)"
181,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.5279429250891807, 0.08597883597883597)"
