,Accuracy,Shape
1798,"(0.6853448275862069, 0.44274809160305345, 0.22953827154896314)","(0.35714285714285715, 17.24137931034483, 0.49867724867724866)"
1799,"(0.6853448275862069, 0.44274809160305345, 0.22953827154896314)","(0.35714285714285715, 17.24137931034483, 0.49867724867724866)"
1800,"(0.6853448275862069, 0.44274809160305345, 0.22953827154896314)","(0.35714285714285715, 17.24137931034483, 0.49867724867724866)"
1801,"(0.6853448275862069, 0.44274809160305345, 0.22953827154896314)","(0.35714285714285715, 17.24137931034483, 0.49867724867724866)"
1802,"(0.6853448275862069, 0.44274809160305345, 0.22953827154896314)","(0.35714285714285715, 17.24137931034483, 0.49867724867724866)"
1803,"(0.6853448275862069, 0.44274809160305345, 0.22953827154896314)","(0.35714285714285715, 17.24137931034483, 0.49867724867724866)"
1804,"(0.6853448275862069, 0.44274809160305345, 0.22953827154896314)","(0.35714285714285715, 17.24137931034483, 0.49867724867724866)"
1805,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1806,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1807,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1808,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1809,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1810,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1811,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1812,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1813,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1814,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1815,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1816,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1817,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1818,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1819,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1820,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1821,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1822,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1823,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1824,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1825,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1826,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1827,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1828,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1829,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1830,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
