,Accuracy,Shape
672,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
673,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
674,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
675,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
676,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
677,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
678,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
679,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
680,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
681,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
682,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
683,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
684,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
685,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
686,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
687,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
688,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
689,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
690,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
691,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
692,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
693,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
694,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
695,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
696,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
697,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
698,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
699,"(0.7780172413793104, 0.46632124352331605, 0.3464706150875157)","(0.18719211822660098, 5.7693222354340055, 0.2208994708994709)"
700,"(0.7758620689655172, 0.4639175257731959, 0.34129410863569876)","(0.1896551724137931, 5.8692033293698, 0.21825396825396826)"
701,"(0.7758620689655172, 0.4639175257731959, 0.34129410863569876)","(0.1896551724137931, 5.8692033293698, 0.21825396825396826)"
702,"(0.7758620689655172, 0.4639175257731959, 0.34129410863569876)","(0.1896551724137931, 5.8692033293698, 0.21825396825396826)"
703,"(0.7780172413793104, 0.4717948717948718, 0.3494632397997721)","(0.1921182266009852, 6.028537455410227, 0.2156084656084656)"
704,"(0.7780172413793104, 0.4717948717948718, 0.3494632397997721)","(0.1921182266009852, 6.028537455410227, 0.2156084656084656)"
705,"(0.7780172413793104, 0.4717948717948718, 0.3494632397997721)","(0.1921182266009852, 6.028537455410227, 0.2156084656084656)"
706,"(0.7780172413793104, 0.4717948717948718, 0.3494632397997721)","(0.1921182266009852, 6.028537455410227, 0.2156084656084656)"
707,"(0.7780172413793104, 0.4717948717948718, 0.3494632397997721)","(0.1921182266009852, 6.028537455410227, 0.2156084656084656)"
708,"(0.7780172413793104, 0.4717948717948718, 0.3494632397997721)","(0.1921182266009852, 6.028537455410227, 0.2156084656084656)"
709,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
710,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
711,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
712,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
713,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
714,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
715,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
716,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
717,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
718,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
719,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
720,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
721,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
722,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
723,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
724,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
