,Accuracy,Shape
458,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
459,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
460,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
461,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
462,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
463,"(0.7758620689655172, 0.45263157894736844, 0.3352094306057834)","(0.17980295566502463, 5.895362663495839, 0.19047619047619047)"
464,"(0.7758620689655172, 0.45263157894736844, 0.3352094306057834)","(0.17980295566502463, 5.895362663495839, 0.19047619047619047)"
465,"(0.7758620689655172, 0.45263157894736844, 0.3352094306057834)","(0.17980295566502463, 5.895362663495839, 0.19047619047619047)"
466,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
467,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
468,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
469,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
470,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
471,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
472,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
473,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
474,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
475,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
476,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
477,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
478,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
479,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
480,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
481,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
482,"(0.7780172413793104, 0.4607329842931937, 0.3435006982488558)","(0.18226600985221675, 5.816884661117719, 0.18783068783068782)"
