,Accuracy,Shape
1533,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1534,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1535,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1536,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1537,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1538,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1539,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1540,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1541,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1542,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1543,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1544,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1545,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1546,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1547,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1548,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1549,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1550,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
